timestamp,run_a_validator_node__reward,adjustedReward,delegate_cosmos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1622184035,9.975997,2.973088,8.938317,1.935408,70.715209,12.97,3106607499
1622176834,9.974137,2.971215,8.936651,1.933728,70.728738,13.92,3339599135
1622169636,9.974373,2.971433,8.936862,1.933922,70.727474,14.25,3405342155
1622162436,9.974951,2.972002,8.93738,1.934431,70.723708,14.51,3496150047
1622155235,9.97518,2.972213,8.937585,1.934618,70.722539,14.46,3474294745
1622148041,9.975263,2.972282,8.937659,1.934678,70.722365,14.5,3449580024
1622140839,9.975326,2.97233,8.937715,1.934719,70.722357,14.64,3491886312
1622133640,9.974507,2.971496,8.936982,1.933971,70.728618,14.64,3498291732
1622126440,9.974673,2.971645,8.93713,1.934102,70.72794,14.97,3571923619
1622119233,9.974962,2.971917,8.937389,1.934344,70.726331,14.89,3542222111
1622112039,9.975082,2.972026,8.937497,1.934441,70.725806,14.7,3501885697
1622104838,9.975082,2.972014,8.937497,1.934429,70.726131,14.53,3440763276
1622097635,9.97521,2.972128,8.937612,1.93453,70.725526,14.17,3379524902
1622090438,9.975236,2.97214,8.937635,1.934539,70.72566,13.8,3311484169
1622083241,9.973799,2.970693,8.936347,1.933241,70.736183,14.06,3378302381
1622076039,9.974888,2.971768,8.937323,1.934203,70.728933,14.77,3595827130
1622068840,9.976552,2.973417,8.938814,1.935679,70.717587,14.76,3501995432
1622061645,9.976641,2.973496,8.938894,1.935749,70.717379,14.58,3469539890
1622054440,9.976727,2.973569,8.938971,1.935813,70.71719,14.49,3457574225
1622047245,9.976509,2.973334,8.938775,1.9356,70.719219,14.66,3518382671
1622040041,9.976685,2.973491,8.938933,1.935739,70.718549,14.63,3476363532
1622032838,9.977298,2.974092,8.939482,1.936276,70.714733,15.53,3720793871
1622025640,9.977253,2.974036,8.939443,1.936225,70.715467,14.88,3552901674
1622018443,9.977528,2.974299,8.939688,1.93646,70.713944,15.08,3573950678
1622011256,9.967175,2.963933,8.930412,1.927171,70.787869,15.46,3654081624
1622004042,9.967396,2.964142,8.93061,1.927356,70.786725,14.58,3481334243
1621996840,9.967512,2.964245,8.930714,1.927447,70.786444,14.42,3421547491
1621989638,9.965759,2.96248,8.929144,1.925865,70.799374,13.7,3274731216
1621982440,9.966257,2.962963,8.92959,1.926296,70.796311,13.73,3264384823
1621975240,9.966711,2.963408,8.929997,1.926694,70.793473,13.29,3178827813
1621968041,9.963751,2.960433,8.927344,1.924026,70.814988,13.6,3233112615
1621960841,9.963938,2.960605,8.927512,1.924179,70.814109,13.33,3194182049
1621953641,9.962803,2.95946,8.926495,1.923152,70.82266,13.37,3198487297
1621946439,9.962443,2.959083,8.926173,1.922813,70.825709,12.63,3032126429
1621939243,9.96249,2.959118,8.926215,1.922843,70.825783,13,3143346908
1621932038,9.962081,2.958696,8.925848,1.922464,70.829081,14.19,3386230796
1621924839,9.962073,2.958676,8.925842,1.922444,70.829488,14.26,3386032127
1621917640,9.962379,2.958969,8.926115,1.922705,70.827724,13.87,3275569366
1621910440,9.962127,2.958709,8.92589,1.922471,70.83001,14.32,3380451508
1621903242,9.961016,2.957586,8.924894,1.921464,70.838495,14.82,3532017337
1621896044,9.961082,2.957644,8.924953,1.921515,70.838505,13.92,3344826587
1621888841,9.961185,2.957733,8.925045,1.921594,70.838397,13.91,3330244319
1621881642,9.961489,2.958026,8.926199,1.922737,70.836832,13.53,3223271859
1621874442,9.961352,2.957883,8.926077,1.922607,70.83832,13.05,3136621533
1621867250,9.961203,2.957723,8.925944,1.922463,70.840054,13.23,3174372081
1621860042,9.960924,2.957429,8.925693,1.922198,70.842757,13.57,3162304642
1621852839,9.961435,2.957932,8.926151,1.922648,70.839575,12.51,2991137288
1621845638,9.962145,2.95863,8.926787,1.923272,70.834975,12.63,3057462988
1621838440,9.962098,2.958573,8.926745,1.92322,70.835688,11.95,2839144694
1621831254,9.962432,2.958896,8.927044,1.923509,70.833673,11.7,2780737719
1621824042,9.96311,2.959565,8.927651,1.924107,70.829274,11.64,2763728571
1621816836,9.95572,2.952165,8.92103,1.917475,70.882326,11.81,2842630568
1621809640,9.956648,2.953082,8.921862,1.918295,70.876203,11.88,2865984270
1621802440,9.957928,2.954348,8.923008,1.919428,70.867769,11.31,2622716793
1621795237,9.958291,2.954704,8.923334,1.919746,70.865773,9.86,2350218413
1621788037,9.959435,2.955838,8.924359,1.920762,70.858505,8.75,2098369778
1621780836,9.961173,2.957564,8.925916,1.922307,70.84685,9.38,2225324079
1621773642,9.962492,2.95887,8.927098,1.923476,70.838252,9.89,2429268938
1621766440,9.961636,2.958006,8.926331,1.922701,70.844782,11.05,2603107666
1621759237,9.958178,2.954535,8.923232,1.91959,70.869984,11.24,2711112114
1621752041,9.958331,2.95468,8.92337,1.919719,70.869207,12.15,2926355034
1621744939,9.958406,2.954748,8.923437,1.919779,70.868997,12.78,3045840376
1621744844,9.958406,2.954748,8.923437,1.919779,70.868997,12.78,3045840376
1621737640,9.958622,2.954951,8.92363,1.919959,70.867813,12.63,3021082746
1621730437,9.961563,2.95788,8.926265,1.922582,70.847326,12.55,2957910940
1621723236,9.961626,2.95793,8.926323,1.922626,70.847293,12.43,2968267302
1621716035,9.958598,2.954887,8.923609,1.919898,70.869266,12.58,3002714435
1621708836,9.958697,2.954977,8.923697,1.919978,70.86897,12.44,2964792199
1621701638,9.958688,2.954955,8.92369,1.919957,70.86954,13,3088178305
1621694437,9.962691,2.958943,8.927276,1.923529,70.841607,13.02,3143059277
1621687239,9.963382,2.959618,8.927896,1.924131,70.837285,13.12,3116333826
1621680035,9.963254,2.959477,8.927781,1.924004,70.838659,12.63,2977355287
1621672837,9.963693,2.959906,8.928174,1.924388,70.835958,12.38,2961358947
1621665634,9.964389,2.960592,8.928798,1.925001,70.831496,11.75,2804744940
1621658438,9.964199,2.960389,8.928627,1.924818,70.833356,12.38,3009870653
1621651238,9.965681,2.961859,8.929956,1.926134,70.823325,13.51,3249827088
1621644043,9.965868,2.962036,8.930123,1.926291,70.822498,13.13,3120407794
1621636841,9.966165,2.962319,8.93039,1.926544,70.821003,13.29,3137242063
1621629642,9.966187,2.962325,8.930409,1.926547,70.821684,12.51,2997330416
1621622439,9.966991,2.96312,8.931129,1.927259,70.816574,13.1,3069066135
1621615241,9.964757,2.960873,8.929128,1.925244,70.833414,14.13,3348909063
1621608038,9.966842,2.96294,8.930996,1.927094,70.819421,13.98,3392071156
1621600836,9.966587,2.962647,8.930767,1.926827,70.822057,15.84,3798400782
1621593640,9.965823,2.96186,8.930083,1.92612,70.828074,16.32,3889293516
1621586436,9.965744,2.961761,8.930012,1.926029,70.829186,16.03,3835123804
1621579244,9.950371,2.930584,8.907456,1.887669,71.171036,16.18,3848265554
1621572037,9.950371,2.930584,8.907456,1.887669,71.171036,16.62,3978796091
1621564841,9.950371,2.930584,8.907456,1.887669,71.171036,17.17,4103904929
1621557636,9.950371,2.930584,8.907456,1.887669,71.171036,17.32,4128697290
1621550443,9.950371,2.930584,8.907456,1.887669,71.171036,16.43,3957627124
1621543237,9.950371,2.930584,8.907456,1.887669,71.171036,16.45,3937514158
1621536039,9.950371,2.930584,8.907456,1.887669,71.171036,16.28,3888691539
1621528837,9.950371,2.930584,8.907456,1.887669,71.171036,15.76,3786222370
1621521636,9.950371,2.930584,8.907456,1.887669,71.171036,16.96,4031487804
1621514445,9.950371,2.930584,8.907456,1.887669,71.171036,16.25,3867337468
1621507241,9.950371,2.930584,8.907456,1.887669,71.171036,15.19,3623768715
1621500041,9.950371,2.930584,8.907456,1.887669,71.171036,15.4,3677724417
1621492859,9.950371,2.930584,8.907456,1.887669,71.171036,15.15,3599808626
1621485634,9.950371,2.930584,8.907456,1.887669,71.171036,14.53,3514364610
1621478438,9.950371,2.930584,8.907456,1.887669,71.171036,13.94,3289843831
1621471235,9.950371,2.930584,8.907456,1.887669,71.171036,13.88,3388460818
1621464034,9.950371,2.930584,8.907456,1.887669,71.171036,15.09,3601036061
1621456836,9.950371,2.930584,8.907456,1.887669,71.171036,15.2,3707353991
1621449663,9.950371,2.930584,8.907456,1.887669,71.171036,15.02,3590051923
1621442441,9.950371,2.930584,8.907456,1.887669,71.171036,15.49,3563441521
1621435236,9.950371,2.930584,8.907456,1.887669,71.171036,15.37,3665796708
1621428038,9.950371,2.930584,8.907456,1.887669,71.171036,16.48,4080523643
1621420834,9.950371,2.930584,8.907456,1.887669,71.171036,19.1,4596728523
1621413633,9.950371,2.930584,8.907456,1.887669,71.171036,19.68,4646095265
1621406432,9.950371,2.930584,8.907456,1.887669,71.171036,19.73,4730108763
1621399236,9.950371,2.930584,8.907456,1.887669,71.171036,19.99,4802294331
1621392038,9.950371,2.930584,8.907456,1.887669,71.171036,21.61,5158340519
1621384838,9.950371,2.930584,8.907456,1.887669,71.171036,23.05,5639488807
1621377637,9.950371,2.930584,8.907456,1.887669,71.171036,23.25,5527667645
1621370434,9.950371,2.930584,8.907456,1.887669,71.171036,22.77,5431016367
1621363231,9.950371,2.930584,8.907456,1.887669,71.171036,22.42,5340976041
1621356036,9.950371,2.930584,8.907456,1.887669,71.171036,21.89,5182234113
1621348835,9.950371,2.930584,8.907456,1.887669,71.171036,21.35,5159903491
1621341633,9.950371,2.930584,8.907456,1.887669,71.171036,22.6,5412310669
1621334439,9.950371,2.930584,8.907456,1.887669,71.171036,22.67,5399549845
1621327233,9.950371,2.930584,8.907456,1.887669,71.171036,22.48,5372196587
1621320035,9.950371,2.930584,8.907456,1.887669,71.171036,22.84,5475791174
1621312835,9.950371,2.930584,8.907456,1.887669,71.171036,22.38,5333131655
1621305641,9.950371,2.930584,8.907456,1.887669,71.171036,21.77,5165444968
1621298435,9.950371,2.930584,8.907456,1.887669,71.171036,21.66,5169980757
1621291238,9.950371,2.930584,8.907456,1.887669,71.171036,20.91,5120143856
1621284034,9.950371,2.930584,8.907456,1.887669,71.171036,22.05,5269039970
1621276838,9.950371,2.930584,8.907456,1.887669,71.171036,21.8,5192650512
1621269638,9.950371,2.930584,8.907456,1.887669,71.171036,22.07,5263720209
1621262435,9.950371,2.930584,8.907456,1.887669,71.171036,22.58,5365546078
1621255237,9.950371,2.930584,8.907456,1.887669,71.171036,23.48,5609401901
1621248037,9.950371,2.930584,8.907456,1.887669,71.171036,23.46,5600394519
1621240836,9.950371,2.930584,8.907456,1.887669,71.171036,23.66,5612289821
1621233637,9.950371,2.930584,8.907456,1.887669,71.171036,23.06,5503927961
1621226435,9.950371,2.930584,8.907456,1.887669,71.171036,22.63,5359022915
1621219234,9.950371,2.930584,8.907456,1.887669,71.171036,22.95,5504346051
1621212036,9.950371,2.930584,8.907456,1.887669,71.171036,23.72,5655307813
1621204835,9.950371,2.930584,8.907456,1.887669,71.171036,24.07,5772816266
1621197635,9.950371,2.930584,8.907456,1.887669,71.171036,23.41,5560946863
1621190436,9.950371,2.930584,8.907456,1.887669,71.171036,24.05,5801617976
1621183233,9.950371,2.930584,8.907456,1.887669,71.171036,24.95,6008974143
1621176034,9.950371,2.930584,8.907456,1.887669,71.171036,25.84,6154063185
1621168833,9.950371,2.930584,8.907456,1.887669,71.171036,26.01,6215257161
1621161631,9.950371,2.930584,8.907456,1.887669,71.171036,26.4,6291139908
1621154432,9.950371,2.930584,8.907456,1.887669,71.171036,26.09,6240919943
1621147231,9.950371,2.930584,8.907456,1.887669,71.171036,26.06,6233561146
1621140032,9.950371,2.930584,8.907456,1.887669,71.171036,25.61,6123270554
1621132834,9.950371,2.930584,8.907456,1.887669,71.171036,25.45,6079051514
1621125634,9.950371,2.930584,8.907456,1.887669,71.171036,25.12,6013091485
1621118434,9.950371,2.930584,8.907456,1.887669,71.171036,25.54,6147608219
1621111232,9.950371,2.930584,8.907456,1.887669,71.171036,25.66,6100992027
1621104032,9.950371,2.930584,8.907456,1.887669,71.171036,25.88,6163240180
1621096836,9.950371,2.930584,8.907456,1.887669,71.171036,26.47,6379531837
1621089634,9.950371,2.930584,8.907456,1.887669,71.171036,27.98,6705577524
1621082432,9.950371,2.930584,8.907456,1.887669,71.171036,27.91,6607798188
1621075234,9.950371,2.930584,8.907456,1.887669,71.171036,26.2,6316819010
1621068032,9.950371,2.930584,8.907456,1.887669,71.171036,28.13,6719071109
1621060832,9.950371,2.930584,8.907456,1.887669,71.171036,26.87,6417796360
1621053638,9.950371,2.930584,8.907456,1.887669,71.171036,27.26,6514552006
1621046438,9.950371,2.930584,8.907456,1.887669,71.171036,27.38,6499833373
1621039236,9.950371,2.930584,8.907456,1.887669,71.171036,26.59,6193268201
1621032037,9.950371,2.930584,8.907456,1.887669,71.171036,25.23,5969434476
1621024838,9.950371,2.930584,8.907456,1.887669,71.171036,24.49,5880722455
1621017633,9.950371,2.930584,8.907456,1.887669,71.171036,24.82,5935553698
1621010446,9.950371,2.930584,8.907456,1.887669,71.171036,24.94,5952072525
1621003238,9.950371,2.930584,8.907456,1.887669,71.171036,24.55,5834822612
1620996033,9.950371,2.930584,8.907456,1.887669,71.171036,24.53,5837064679
1620988832,9.950371,2.930584,8.907456,1.887669,71.171036,24.59,5850405011
1620981629,9.950371,2.930584,8.907456,1.887669,71.171036,24.36,5796041147
1620974434,9.950371,2.930584,8.907456,1.887669,71.171036,23.89,5689206438
1620967232,9.950371,2.930584,8.907456,1.887669,71.171036,23.91,5695005092
1620960035,9.950371,2.930584,8.907456,1.887669,71.171036,23.51,5599063897
1620952837,9.950371,2.930584,8.907456,1.887669,71.171036,23.85,5686374221
1620945637,9.950371,2.930584,8.907456,1.887669,71.171036,23.57,5560003441
1620938437,9.950371,2.930584,8.907456,1.887669,71.171036,23.37,5549994064
1620931238,9.950371,2.930584,8.907456,1.887669,71.171036,22.9,5453895942
1620924037,9.950371,2.930584,8.907456,1.887669,71.171036,24.45,5768567765
1620916837,9.950371,2.930584,8.907456,1.887669,71.171036,24.14,5802249018
1620909634,9.950371,2.930584,8.907456,1.887669,71.171036,23.95,5713218278
1620902434,9.950371,2.930584,8.907456,1.887669,71.171036,23.13,5577052410
1620895235,9.950371,2.930584,8.907456,1.887669,71.171036,24.56,5860296511
1620888033,9.950371,2.930584,8.907456,1.887669,71.171036,24.69,5909830314
1620880836,9.950371,2.930584,8.907456,1.887669,71.171036,24.55,5872681900
1620873634,9.950371,2.930584,8.907456,1.887669,71.171036,24.01,5746208476
1620866436,9.950371,2.930584,8.907456,1.887669,71.171036,24.09,5641797284
1620859231,9.950371,2.930584,8.907456,1.887669,71.171036,24.86,6009948318
1620852036,9.950371,2.930584,8.907456,1.887669,71.171036,26.01,6169541139
1620844833,9.950371,2.930584,8.907456,1.887669,71.171036,24.85,5965081385
1620837633,9.950371,2.930584,8.907456,1.887669,71.171036,25.92,6213681388
1620830434,9.950371,2.930584,8.907456,1.887669,71.171036,26.74,6334041652
1620823231,9.950371,2.930584,8.907456,1.887669,71.171036,26.22,6301246259
1620816037,9.950371,2.930584,8.907456,1.887669,71.171036,26.53,6326312585
1620808834,9.950371,2.930584,8.907456,1.887669,71.171036,26.65,6329159432
1620801632,9.950371,2.930584,8.907456,1.887669,71.171036,27.1,6442807288
1620794436,9.950371,2.930584,8.907456,1.887669,71.171036,27.34,6541779862
1620787232,9.950371,2.930584,8.907456,1.887669,71.171036,27.39,6529110283
1620780032,9.950371,2.930584,8.907456,1.887669,71.171036,26.99,6430388793
1620772839,9.950371,2.930584,8.907456,1.887669,71.171036,26.27,6244436040
1620765635,9.950371,2.930584,8.907456,1.887669,71.171036,26.34,6271885625
1620758436,9.950371,2.930584,8.907456,1.887669,71.171036,26.46,6320341719
1620751236,9.950371,2.930584,8.907456,1.887669,71.171036,25.73,6165625468
1620744037,9.950371,2.930584,8.907456,1.887669,71.171036,25.37,6053423149
1620736834,9.950371,2.930584,8.907456,1.887669,71.171036,24.67,5914004468
1620729632,9.950371,2.930584,8.907456,1.887669,71.171036,26.15,6259191163
1620722432,9.950371,2.930584,8.907456,1.887669,71.171036,25.04,5978895304
1620715229,9.950371,2.930584,8.907456,1.887669,71.171036,25.44,6016471739
1620708031,9.950371,2.930584,8.907456,1.887669,71.171036,24.93,5935850679
1620700832,9.950371,2.930584,8.907456,1.887669,71.171036,25.03,5997467618
1620693631,9.950371,2.930584,8.907456,1.887669,71.171036,25.87,6181764715
1620686438,9.950371,2.930584,8.907456,1.887669,71.171036,25.56,6231573165
1620679236,9.950371,2.930584,8.907456,1.887669,71.171036,25.79,6081534609
1620672034,9.950371,2.930584,8.907456,1.887669,71.171036,26.66,6365016212
1620664839,9.950371,2.930584,8.907456,1.887669,71.171036,27.32,6526878686
1620657636,9.950371,2.930584,8.907456,1.887669,71.171036,27.37,6521325794
1620650433,9.950371,2.930584,8.907456,1.887669,71.171036,27.76,6599534873
1620643229,9.950371,2.930584,8.907456,1.887669,71.171036,28.48,6779555318
1620636029,9.950371,2.930584,8.907456,1.887669,71.171036,28.7,6845094974
1620628832,9.950371,2.930584,8.907456,1.887669,71.171036,29.03,6940959588
1620621630,9.950371,2.930584,8.907456,1.887669,71.171036,29.41,7019733604
1620614436,9.950371,2.930584,8.907456,1.887669,71.171036,29.17,6971313167
1620607237,9.949734,2.929754,9.949734,2.929754,71.178208,28.33,6780518919
1620600034,9.949801,2.927854,8.906946,1.885,71.203957,28.16,6687062136
1620592834,9.949801,2.927854,8.906946,1.885,71.203957,27.23,6499384035
1620585635,9.949801,2.927854,8.906946,1.885,71.203957,27.67,6631508208
1620578434,9.949801,2.927854,8.906946,1.885,71.203957,28.1,6704102923
1620571230,9.949801,2.927854,8.906946,1.885,71.203957,28,6751006021
1620564035,9.949801,2.927854,8.906946,1.885,71.203957,27.27,6479033826
1620556831,9.949801,2.927854,8.906946,1.885,71.203957,27.42,6526247717
1620549631,9.949801,2.927854,8.906946,1.885,71.203957,27.97,6629561629
1620542432,9.949801,2.927854,8.906946,1.885,71.203957,27.6,6586803699
1620535232,9.949801,2.927854,8.906946,1.885,71.203957,27.18,6424887917
1620528033,9.950272,2.928131,8.907368,1.885227,71.203187,28.16,6729702025
1620520833,9.950641,2.928303,9.950641,2.928303,71.203262,29.2,7049246617
1620513631,9.958711,2.935385,8.914922,1.891597,71.159533,28.43,6826100662
1620506433,9.958711,2.935385,8.914922,1.891597,71.159533,28.19,6707792973
1620499234,9.958711,2.935385,8.914922,1.891597,71.159533,28.1,6703647451
1620492031,9.958711,2.935385,8.914922,1.891597,71.159533,27.86,6668617331
1620484833,9.958711,2.935385,8.914922,1.891597,71.159533,28.04,6694105395
1620477634,9.95534,2.931816,8.911904,1.888381,71.186425,28.78,6862384013
1620470432,9.926278,2.902549,8.885889,1.86216,71.397586,29.25,7007833747
1620463235,9.926714,2.902776,8.88628,1.862342,71.397328,29.7,7075851426
1620456032,9.926897,2.902752,8.886443,1.862298,71.399058,29.4,6981000643
1620448832,9.927201,2.90285,8.886715,1.862364,71.399713,28.75,6835610596
1620441635,9.927046,2.902486,8.886576,1.862017,71.403708,28.28,6664762468
1620434433,9.928164,2.903395,8.887577,1.862808,71.398596,27.94,6705826898
1620427234,9.93006,2.905085,8.889275,1.864299,71.38821,27.71,6616230568
1620420039,9.930303,2.905122,8.889492,1.864311,71.389729,29.64,7134963864
1620412838,9.932388,2.906999,8.891358,1.86597,71.378082,29.21,6921170773
1620405640,9.916411,2.890813,8.877056,1.851458,71.49723,30.6,7410254983
1620398431,9.911396,2.885576,8.872567,1.846747,71.537221,26.34,6218304082
1620391231,9.907988,2.881954,8.869516,1.843482,71.564752,25.8,6121947327
1620384038,9.910077,2.883828,8.871386,1.845137,71.552363,25.65,6118831562
1620376830,9.913318,2.886854,8.874287,1.847823,71.531685,25.21,6017455829
1620369630,9.913673,2.886997,8.874605,1.847929,71.531835,25.41,6049807216
1620362431,9.914004,2.887112,8.874902,1.848009,71.532235,25.6,6158101377
1620355233,9.912035,2.884932,8.873139,1.846035,71.549538,26.65,6379700063
1620348037,9.912521,2.885202,8.873573,1.846255,71.549027,26.12,6217673869
1620340834,9.912897,2.885361,8.87391,1.846375,71.549254,25.73,6111211882
1620333635,9.913666,2.885912,8.874599,1.846844,71.546714,25.13,5961286882
1620326435,9.91442,2.88645,8.875273,1.847304,71.544382,25.25,6138947254
1620319232,9.915667,2.887484,8.87639,1.848207,71.53846,25.81,6145451916
1620312036,9.91617,2.887774,8.87684,1.848444,71.537922,26.15,6211573420
1620304833,9.914241,2.88563,8.875114,1.846502,71.555147,26.71,6357447334
1620297633,9.915332,2.886507,8.876512,1.847687,71.55028,25.72,6179664827
1620290431,9.91558,2.886541,8.876734,1.847696,71.551338,25.05,5980503677
1620283230,9.920496,2.891247,8.881135,1.851886,71.518756,24.82,5974375602
1620276032,9.925683,2.896222,8.885357,1.855895,71.484372,25.72,6143541825
1620268832,9.915712,2.886036,8.876431,1.846754,71.55962,25.7,6127887837
1620261633,9.915651,2.885759,8.876376,1.846483,71.563583,24.7,5854682724
1620254434,9.917257,2.88715,8.877814,1.847707,71.555334,23.97,5707646500
1620247234,9.917233,2.886908,8.877792,1.847467,71.558604,23.18,5518616161
1620240034,9.917284,2.886744,8.877838,1.847298,71.561283,23.49,5599512718
1620232836,9.918006,2.887249,8.878484,1.847727,71.559259,23.52,5573913643
1620225638,9.918063,2.88709,8.878535,1.847562,71.561948,23,5463453898
1620218433,9.918258,2.887068,8.878709,1.847519,71.563564,23.16,5572201319
1620211233,9.923014,2.891607,8.883389,1.851982,71.532129,22.98,5436188746
1620204031,9.924121,2.892499,8.884381,1.852758,71.526863,22.89,5446885071
1620196834,9.924678,2.892844,8.884457,1.852623,71.525598,21.81,5210110017
1620189631,9.920343,2.888291,8.880576,1.848524,71.559728,22.18,5252152031
1620182436,9.92067,2.888402,8.880869,1.848601,71.5604,22.13,5279744857
1620175238,9.920599,2.888118,8.880805,1.848324,71.564043,21.56,5123547587
1620168031,9.921036,2.888342,8.881197,1.848503,71.563671,21.46,5154736928
1620160885,9.921171,2.888262,8.881317,1.848408,71.565621,21.75,5200058036
1620153635,9.921211,2.888085,8.881353,1.848227,71.568296,21.69,5171184046
1620146478,9.921583,2.888242,8.881686,1.848345,71.568508,21.45,5148085413
1620139237,9.923203,2.889648,8.883136,1.849581,71.55992,22.63,5404455708
1620132035,9.924142,2.890373,8.884862,1.851094,71.556198,22.7,5409317420
1620124830,9.923948,2.889965,8.884689,1.850706,71.560494,23.11,5518002636
1620117631,9.924221,2.890021,8.884934,1.850733,71.561339,21.91,5209084337
1620110433,9.924203,2.889788,8.884918,1.850502,71.564184,22.35,5327095203
1620103233,9.924391,2.889762,8.885086,1.850457,71.565509,22.21,5288563319
1620096032,9.924712,2.889874,8.885373,1.850535,71.565906,21.92,5222299851
1620088837,9.925148,2.890099,8.885764,1.850715,71.565785,22.67,5441042306
1620081648,9.9257,2.890441,8.886258,1.850999,71.564613,22.84,5462061157
1620074511,9.926721,2.891248,8.887172,1.851698,71.560288,22.62,5414582042
1620067278,9.926365,2.890677,8.886853,1.851165,71.56594,23.25,5544329749
1620060094,9.926422,2.890519,8.886904,1.851001,71.568576,23.06,5496574803
1620052840,9.926736,2.89062,8.887185,1.851069,71.569231,23.24,5545399487
1620045632,9.927131,2.89079,8.887539,1.851198,71.569464,23.33,5611653561
1620038431,9.927463,2.890905,8.887836,1.851278,71.569945,23.12,5508002250
1620031231,9.927946,2.891186,8.888268,1.851509,71.569007,23.52,5596310590
1620024031,9.928933,2.891927,8.889152,1.852146,71.565075,23.32,5565779064
1620016831,9.929217,2.891988,8.889406,1.852177,71.565863,23.29,5557740061
1620009632,9.927706,2.890255,8.888053,1.850603,71.579639,23.32,5587459035
1620002439,9.928164,2.890497,8.888464,1.850796,71.579138,23.33,5555931682
1619995232,9.928769,2.890882,8.889005,1.851118,71.577631,22.94,5502940160
1619988035,9.929087,2.890987,8.88929,1.85119,71.578202,23.37,5569936546
1619980836,9.929935,2.891628,8.890049,1.851742,71.574974,23.22,5537179198
1619973633,9.929495,2.89097,8.889655,1.85113,71.581088,22.84,5454493992
1619966438,9.930135,2.891399,8.888754,1.850017,71.579345,23.1,5509161448
1619959231,9.930441,2.891491,8.889028,1.850077,71.579932,22.99,5475186322
1619952036,9.930879,2.891717,8.88942,1.850258,71.579408,22.74,5436090497
1619944831,9.93117,2.891795,8.889681,1.850306,71.579904,22.47,5356756032
1619937631,9.931432,2.891848,8.889915,1.850331,71.580561,23,5491843367
1619930430,9.931677,2.891884,8.890134,1.850341,71.581401,22.85,5450465474
1619923233,9.931892,2.891887,8.890326,1.850321,71.58258,23.64,5642121925
