timestamp,staking_provider,event,application,amount_variation,current_balance
2022-10-03 18:03:11.000 UTC,0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,authIncreased,tbtc,10261923747650894738207024,10261923747650894738207024
2022-10-03 18:03:59.000 UTC,0xe4a3492c8b085ab5edb6fdae329f172056f6b04e,authIncreased,randombeacon,10261923747650894738207024,10261923747650894738207024
2022-10-04 00:02:47.000 UTC,0xe3b1c5653d520e8e8c60fe76dbc61f0e2259a376,authIncreased,tbtc,430732731726027397260274,430732731726027397260274
2022-10-04 00:03:11.000 UTC,0xe3b1c5653d520e8e8c60fe76dbc61f0e2259a376,authIncreased,randombeacon,430732731726027397260274,430732731726027397260274
2022-10-04 00:04:35.000 UTC,0xd517479acaef258baa3ba6a351e9c714a79d597e,authIncreased,tbtc,1514011837171455627159932,1514011837171455627159932
2022-10-04 00:05:11.000 UTC,0xd517479acaef258baa3ba6a351e9c714a79d597e,authIncreased,randombeacon,1514011837171455627159932,1514011837171455627159932
2022-10-04 01:55:11.000 UTC,0x02a527084f5e73af7781846762c8753acd096461,authIncreased,tbtc,100269906552601759205096,100269906552601759205096
2022-10-04 01:55:47.000 UTC,0x02a527084f5e73af7781846762c8753acd096461,authIncreased,randombeacon,100269906552601759205096,100269906552601759205096
2022-10-04 04:37:23.000 UTC,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,authIncreased,randombeacon,50000000000000000000000,50000000000000000000000
2022-10-04 04:37:59.000 UTC,0xddca0a903f6b17a7b785af31b9749f6f95ed86b1,authIncreased,tbtc,50000000000000000000000,50000000000000000000000
2022-10-04 05:12:59.000 UTC,0xc120ab7977bdda3b57f191dbf41a1af7da794baa,authIncreased,tbtc,4180151940611762389100000,4180151940611762389100000
2022-10-04 05:17:59.000 UTC,0xc120ab7977bdda3b57f191dbf41a1af7da794baa,authIncreased,randombeacon,4180151940611762389100000,4180151940611762389100000
2022-10-04 07:14:35.000 UTC,0x4553daa29662971ff6f1ca59390287e8bc25825f,authIncreased,tbtc,657992994205129687778370,657992994205129687778370
2022-10-04 07:15:23.000 UTC,0x4553daa29662971ff6f1ca59390287e8bc25825f,authIncreased,randombeacon,657992994205129687778370,657992994205129687778370
2022-10-04 07:32:23.000 UTC,0x0f35c836864875c8e9392da147f41300ab538091,authIncreased,tbtc,400000000000000000000000,400000000000000000000000
2022-10-04 07:33:23.000 UTC,0x0f35c836864875c8e9392da147f41300ab538091,authIncreased,randombeacon,853229573064958545674479,853229573064958545674479
2022-10-04 07:34:11.000 UTC,0x0f35c836864875c8e9392da147f41300ab538091,authIncreased,tbtc,453229573064958545674479,853229573064958545674479
2022-10-04 07:51:11.000 UTC,0xa7baca5a92842689359fb1782e75d6eff59152e6,authIncreased,tbtc,19615313876194718421884640,19615313876194718421884640
