timestamp,bake_tezos__reward,adjustedReward,delegate_tezos__reward,delegateadjustedReward,total_staked,priceUsd,marketcapUsd
1622184065,6.090154,1.373246,5.477903,0.760995,77.689689,3.51,2943514476
1622176867,6.090341,1.37346,5.478071,0.76119,77.68686,3.73,3129039435
1622169668,6.090266,1.373505,5.478004,0.761243,77.685849,3.84,3199710937
1622162465,6.090502,1.373509,5.478216,0.761224,77.686639,3.88,3277116954
1622155267,6.090484,1.373623,5.4782,0.761339,77.684717,3.9,3240957120
1622148080,6.088811,1.371647,5.476695,0.759531,77.711031,3.92,3253157421
1622140879,6.088803,1.371376,5.476688,0.759261,77.715456,4.01,3342260847
1622133674,6.089701,1.372415,5.477496,0.76021,77.701688,3.98,3316981805
1622126474,6.090001,1.372656,5.477765,0.76042,77.698834,4.08,3408654040
1622119262,6.090382,1.372859,5.478108,0.760585,77.696891,4,3304211202
1622112073,6.089551,1.371959,5.477361,0.759768,77.70864,3.88,3219938123
1622104868,6.090354,1.372589,5.478083,0.760318,77.701231,3.82,3151873988
1622097666,6.091418,1.373444,5.47904,0.761066,77.691092,3.77,3136213625
1622090474,6.091397,1.373335,5.479021,0.760959,77.692804,3.67,3048557904
1622083278,6.09084,1.372828,5.47852,0.760509,77.699085,3.7,3115834013
1622076077,6.09116,1.373183,5.478808,0.760832,77.69443,3.84,3248909541
1622068876,6.092351,1.374123,5.47988,0.761652,77.683365,3.86,3216207122
1622061682,6.093094,1.37452,5.480581,0.762007,77.679585,3.83,3187842038
1622054479,6.094197,1.375495,5.481573,0.762871,77.667624,3.81,3168530198
1622047281,6.093634,1.375153,5.481066,0.762586,77.671174,3.79,3182269655
1622040079,6.111242,1.392856,5.496904,0.778518,77.445836,3.79,3142937735
1622032874,6.111764,1.393259,5.497374,0.778869,77.441166,3.93,3274235378
1622025676,6.111677,1.393301,5.497296,0.77892,77.440155,3.82,3186421525
1622018483,6.112347,1.39385,5.497899,0.779402,77.433655,3.88,3201097722
1622011301,6.113648,1.394876,5.499069,0.780296,77.421683,3.96,3271222956
1622004081,6.113342,1.394753,5.498794,0.780205,77.422562,3.81,3169471563
1621996878,6.112576,1.394142,5.498105,0.779671,77.429726,3.77,3135576939
1621989673,6.110837,1.393908,5.49654,0.779611,77.427146,3.6,3013175033
1621982476,6.108658,1.393215,5.49458,0.779138,77.430431,3.63,3018454955
1621975278,6.108111,1.392599,5.494088,0.778576,77.438506,3.49,2911791061
1621968078,6.106979,1.392296,5.49307,0.778387,77.43929,3.6,2982667238
1621960877,6.096583,1.391624,5.483719,0.77876,77.411839,3.63,3016911779
1621953684,6.03748,1.378778,5.430558,0.771856,77.403491,3.53,2939167532
1621946476,6.117099,1.395497,5.502173,0.780571,77.424279,3.3,2770845134
1621939276,6.116634,1.394952,5.501755,0.780073,77.431481,3.42,2841848082
1621932073,6.117255,1.39549,5.502313,0.780548,77.424989,3.69,3065884040
1621924875,6.117667,1.395646,5.502684,0.780663,77.423956,3.66,3034035402
1621917677,6.118269,1.396067,5.503225,0.781024,77.419289,3.47,2872724864
1621910480,6.118649,1.396439,5.503567,0.781357,77.414627,3.57,2927332708
1621903282,6.119118,1.396996,5.503989,0.781867,77.407256,3.67,3058957141
1621896078,6.115807,1.393688,5.501011,0.778892,77.44911,3.52,2958028075
1621888879,6.116864,1.394547,5.501961,0.779645,77.438966,3.5,2937578958
1621881684,6.118599,1.396284,5.503522,0.781207,77.416978,3.46,2881532450
1621874479,6.122345,1.399706,5.506892,0.784253,77.374902,3.33,2764547722
1621867289,6.096909,1.374383,5.484013,0.761486,77.695868,3.35,2828457052
1621860076,6.096754,1.374353,5.483873,0.761472,77.695785,3.49,2872247696
1621852874,6.096359,1.374103,5.483517,0.761262,77.698447,3.24,2731651179
1621845675,6.096199,1.373574,5.483373,0.760749,77.706535,3.29,2762836498
1621838473,6.096829,1.373944,5.48394,0.761055,77.702781,3.09,2547731328
1621831290,6.097184,1.374307,5.48426,0.761382,77.698132,3.03,2510594816
1621824081,6.097468,1.374764,5.484515,0.761812,77.691664,2.99,2487032573
1621816872,6.096784,1.374283,5.4839,0.761399,77.697055,3,2516043636
1621809678,6.097303,1.374683,5.484367,0.761747,77.692399,2.94,2479266354
1621802476,6.097771,1.375404,5.484787,0.762421,77.682285,2.87,2370428034
1621795276,6.096297,1.374025,5.483462,0.76119,77.699522,2.72,2261945372
1621788070,6.099309,1.376706,5.486171,0.763568,77.666575,2.47,2132794161
1621780871,6.100363,1.378116,5.48712,0.764872,77.647334,2.71,2247412201
1621773678,6.099584,1.377502,5.486419,0.764337,77.654536,2.9,2442195761
1621766475,6.09902,1.377159,5.485912,0.764051,77.658093,3.13,2562737909
1621759270,6.098507,1.376106,5.48545,0.763049,77.673489,3.15,2655924233
1621752077,6.098097,1.375964,5.485081,0.762948,77.674317,3.34,2798788461
1621744982,6.098726,1.3765,5.485647,0.763421,77.66783,3.44,2866764180
1621737674,6.09785,1.376087,5.484859,0.763096,77.671398,3.45,2883298599
1621730473,6.098402,1.376661,5.485355,0.763615,77.664011,3.54,2903525374
1621723277,6.101004,1.377362,5.487696,0.764054,77.662052,3.51,2923577289
1621716071,6.100897,1.377234,5.4876,0.763936,77.663765,3.52,2911579314
1621708870,6.099288,1.377214,5.486153,0.764079,77.658193,3.43,2863516197
1621701677,6.098151,1.379361,5.48513,0.76634,77.618829,3.58,2967762534
1621694473,6.098848,1.379804,5.485757,0.766712,77.614129,3.58,3028690394
1621687278,6.098719,1.37967,5.485641,0.766592,77.61585,3.64,3021313477
1621680072,6.097906,1.378937,5.484909,0.765941,77.624881,3.54,2908545454
1621672871,6.098277,1.379139,5.485243,0.766105,77.622934,3.46,2878485773
1621665670,6.096638,1.3775,5.483769,0.764631,77.643811,3.33,2746583698
1621658474,6.096926,1.377793,5.484028,0.764895,77.640063,3.48,2921757338
1621651273,6.096994,1.37787,5.484089,0.764965,77.639047,3.69,3099716695
1621644078,6.09769,1.378257,5.484715,0.765282,77.635262,3.65,3014696858
1621636876,6.096458,1.376821,5.483607,0.76397,77.654298,3.58,2930916135
1621629675,6.094746,1.37511,5.482067,0.762431,77.676099,3.42,2861202628
1621622473,6.094674,1.375156,5.482003,0.762484,77.675089,3.6,2955194543
1621615279,6.09502,1.375351,5.482314,0.762644,77.673151,3.71,3057311953
1621608074,6.096619,1.376717,5.483752,0.76385,77.656605,3.71,3109997582
1621600870,6.099105,1.37895,5.485988,0.765832,77.62911,4.03,3393271873
1621593674,6.100401,1.379971,5.487154,0.766723,77.617127,4.13,3417460486
1621586475,6.077298,1.356397,5.466373,0.745472,77.919932,4,3338439955
1621579282,6.075643,1.354707,5.464884,0.743949,77.941735,4.05,3355662380
1621572072,6.075805,1.35497,5.46503,0.744195,77.937999,4.09,3428660012
1621564882,6.076695,1.355839,5.465831,0.744974,77.926945,4.26,3551651734
1621557672,6.076697,1.356011,5.465832,0.745146,77.924122,4.25,3529473650
1621550479,6.07659,1.356104,5.465736,0.74525,77.922199,4.04,3392168478
1621543274,6.075938,1.35591,5.465149,0.745121,77.92303,4.12,3425546905
1621536073,6.078239,1.35759,5.467219,0.74657,77.903742,4.07,3378302967
1621528874,6.077208,1.356592,5.466292,0.745676,77.916415,4.01,3346856995
1621521672,6.081361,1.360236,5.470027,0.748902,77.871585,4.37,3603067989
